zone_id,date,slope,aspect,curvature,vv_backscatter,vh_backscatter,rainfall_mm
zone_04,2026-04-19,10.7567,15.7899,0.000708,-9.1311,-15.1183,0.0
zone_05,2026-04-19,0.8126,146.9745,0.007313,-12.8441,-21.6077,0.0
zone_06,2026-04-19,11.1678,165.702,-0.030888,-11.1539,-19.1836,0.0
zone_07,2026-04-19,11.5147,169.6676,-0.005945,-13.1158,-22.3499,0.0
zone_08,2026-04-19,14.8115,203.6419,-0.03519,-9.4471,-17.004,0.0
zone_09,2026-04-19,3.128,105.5919,0.0005,-12.0492,-21.2589,0.0
zone_10,2026-04-19,12.0184,229.9116,-0.03979,-11.6648,-19.7876,0.0
zone_11,2026-04-19,16.242,337.329,-0.00185,-12.8517,-21.3635,0.0
zone_12,2026-04-19,12.406,314.2971,-0.067788,-11.9443,-21.3838,0.0
zone_13,2026-04-19,1.2123,82.5197,-0.004406,-11.649,-20.9552,0.0
zone_14,2026-04-19,5.6308,229.9163,0.01853,-11.8062,-20.5506,0.0
zone_15,2026-04-19,3.3809,260.4495,-0.012809,-13.3976,-22.06,0.0
zone_16,2026-04-19,1.1964,158.6191,0.009475,-14.2265,-22.4166,0.0
zone_01,2026-05-01,4.805,111.1703,0.047333,-9.142,-17.6258,0.0
zone_02,2026-05-01,5.3165,195.2216,0.02904,-9.6556,-18.3369,0.0
zone_03,2026-05-01,10.2624,195.2096,-0.046989,-9.8046,-18.7427,0.0
zone_04,2026-05-01,10.7567,15.7899,0.000708,-9.2883,-15.5378,0.0
zone_05,2026-05-01,0.8126,146.9745,0.007313,-12.6375,-21.4847,0.0
zone_06,2026-05-01,11.1678,165.702,-0.030888,-11.158,-19.5712,0.0
zone_07,2026-05-01,11.5147,169.6676,-0.005945,-13.3359,-22.6268,0.0
zone_08,2026-05-01,14.8115,203.6419,-0.03519,-9.9662,-17.1334,0.0
zone_09,2026-05-01,3.128,105.5919,0.0005,-11.9153,-20.7895,0.0
zone_10,2026-05-01,12.0184,229.9116,-0.03979,-11.4965,-19.8222,0.0
zone_11,2026-05-01,16.242,337.329,-0.00185,-12.6684,-21.2309,0.0
zone_12,2026-05-01,12.406,314.2971,-0.067788,-12.0081,-21.6099,0.0
zone_13,2026-05-01,1.2123,82.5197,-0.004406,-11.5119,-20.8741,0.0
zone_14,2026-05-01,5.6308,229.9163,0.01853,-11.6931,-20.8302,0.0
zone_15,2026-05-01,3.3809,260.4495,-0.012809,-13.1768,-22.1548,0.0
zone_16,2026-05-01,1.1964,158.6191,0.009475,-14.3508,-22.5944,0.0
zone_01,2026-05-13,4.805,111.1703,0.047333,-9.3027,-17.8029,0.6
zone_02,2026-05-13,5.3165,195.2216,0.02904,-10.0577,-18.4743,0.6
zone_03,2026-05-13,10.2624,195.2096,-0.046989,-9.904,-18.501,0.6
zone_04,2026-05-13,10.7567,15.7899,0.000708,-9.1632,-15.3418,0.6
zone_05,2026-05-13,0.8126,146.9745,0.007313,-12.882,-22.5737,0.6
zone_06,2026-05-13,11.1678,165.702,-0.030888,-11.4466,-20.0465,0.6
zone_07,2026-05-13,11.5147,169.6676,-0.005945,-13.5435,-23.3472,0.6
zone_08,2026-05-13,14.8115,203.6419,-0.03519,-9.387,-16.7728,0.6
zone_09,2026-05-13,3.128,105.5919,0.0005,-12.0844,-21.5558,0.6
zone_10,2026-05-13,12.0184,229.9116,-0.03979,-11.7283,-20.2406,0.6
zone_11,2026-05-13,16.242,337.329,-0.00185,-12.7376,-21.6427,0.6
zone_12,2026-05-13,12.406,314.2971,-0.067788,-12.0027,-22.2143,0.6
zone_13,2026-05-13,1.2123,82.5197,-0.004406,-11.8417,-21.2417,0.6
zone_14,2026-05-13,5.6308,229.9163,0.01853,-12.3839,-21.7098,0.6
zone_15,2026-05-13,3.3809,260.4495,-0.012809,-13.3184,-22.876,0.6
zone_16,2026-05-13,1.1964,158.6191,0.009475,-14.6023,-22.7354,0.6
zone_01,2026-06-06,4.805,111.1703,0.047333,-9.0366,-17.7727,0.2
zone_02,2026-06-06,5.3165,195.2216,0.02904,-9.679,-18.3805,0.2
zone_03,2026-06-06,10.2624,195.2096,-0.046989,-10.1908,-19.054,0.2
zone_04,2026-06-06,10.7567,15.7899,0.000708,-9.0266,-15.537,0.2
zone_05,2026-06-06,0.8126,146.9745,0.007313,-12.6716,-22.68,0.2
zone_06,2026-06-06,11.1678,165.702,-0.030888,-11.4466,-20.2516,0.2
zone_07,2026-06-06,11.5147,169.6676,-0.005945,-13.1286,-22.8558,0.2
zone_08,2026-06-06,14.8115,203.6419,-0.03519,-9.3951,-17.2171,0.2
zone_09,2026-06-06,3.128,105.5919,0.0005,-12.1115,-21.8143,0.2
zone_10,2026-06-06,12.0184,229.9116,-0.03979,-11.6968,-20.2313,0.2
zone_11,2026-06-06,16.242,337.329,-0.00185,-12.8379,-22.1986,0.2
zone_12,2026-06-06,12.406,314.2971,-0.067788,-11.8053,-21.9555,0.2
zone_13,2026-06-06,1.2123,82.5197,-0.004406,-11.5628,-21.3306,0.2
zone_14,2026-06-06,5.6308,229.9163,0.01853,-11.8021,-21.4164,0.2
zone_15,2026-06-06,3.3809,260.4495,-0.012809,-13.2732,-22.5173,0.2
zone_16,2026-06-06,1.1964,158.6191,0.009475,-14.3333,-23.1178,0.2
zone_01,2026-06-18,4.805,111.1703,0.047333,-9.2613,-17.8031,0.1
zone_02,2026-06-18,5.3165,195.2216,0.02904,-10.1181,-18.6579,0.1
zone_03,2026-06-18,10.2624,195.2096,-0.046989,-9.8357,-18.888,0.1
zone_04,2026-06-18,10.7567,15.7899,0.000708,-9.14,-15.567,0.1
zone_05,2026-06-18,0.8126,146.9745,0.007313,-12.632,-22.2735,0.1
zone_06,2026-06-18,11.1678,165.702,-0.030888,-11.3398,-19.9536,0.1
zone_07,2026-06-18,11.5147,169.6676,-0.005945,-13.2043,-22.9273,0.1
zone_08,2026-06-18,14.8115,203.6419,-0.03519,-9.3996,-17.3364,0.1
zone_09,2026-06-18,3.128,105.5919,0.0005,-12.1823,-21.6442,0.1
zone_10,2026-06-18,12.0184,229.9116,-0.03979,-11.568,-20.0057,0.1
zone_11,2026-06-18,16.242,337.329,-0.00185,-12.7516,-21.9549,0.1
zone_12,2026-06-18,12.406,314.2971,-0.067788,-11.7229,-21.9238,0.1
zone_13,2026-06-18,1.2123,82.5197,-0.004406,-11.6544,-21.1262,0.1
zone_14,2026-06-18,5.6308,229.9163,0.01853,-11.7943,-21.0344,0.1
zone_15,2026-06-18,3.3809,260.4495,-0.012809,-13.5491,-22.594,0.1
zone_16,2026-06-18,1.1964,158.6191,0.009475,-14.3567,-22.7493,0.1
zone_01,2026-06-25,4.805,111.1703,0.047333,-9.1763,-17.8464,0.1
zone_02,2026-06-25,5.3165,195.2216,0.02904,-9.9803,-18.6883,0.1
zone_03,2026-06-25,10.2624,195.2096,-0.046989,-9.7523,-19.1388,0.1
zone_04,2026-06-25,10.7567,15.7899,0.000708,-9.6471,-15.7952,0.1
zone_05,2026-06-25,0.8126,146.9745,0.007313,-12.7463,-22.5522,0.1
zone_06,2026-06-25,11.1678,165.702,-0.030888,-11.4792,-20.509,0.1
zone_07,2026-06-25,11.5147,169.6676,-0.005945,-13.476,-23.2891,0.1
zone_08,2026-06-25,14.8115,203.6419,-0.03519,-10.0249,-17.5751,0.1
zone_09,2026-06-25,3.128,105.5919,0.0005,-12.2194,-21.6745,0.1
zone_10,2026-06-25,12.0184,229.9116,-0.03979,-12.0047,-20.3843,0.1
zone_11,2026-06-25,16.242,337.329,-0.00185,-13.1589,-22.4394,0.1
zone_12,2026-06-25,12.406,314.2971,-0.067788,-12.507,-22.6191,0.1
zone_13,2026-06-25,1.2123,82.5197,-0.004406,-11.6837,-21.1348,0.1
zone_14,2026-06-25,5.6308,229.9163,0.01853,-11.7302,-21.1033,0.1
zone_15,2026-06-25,3.3809,260.4495,-0.012809,-13.5501,-22.7991,0.1
zone_16,2026-06-25,1.1964,158.6191,0.009475,-14.8154,-23.2481,0.1
zone_01,2026-07-07,4.805,111.1703,0.047333,-6.8689,-15.1717,6.2
zone_02,2026-07-07,5.3165,195.2216,0.02904,-7.7444,-16.1313,6.2
zone_03,2026-07-07,10.2624,195.2096,-0.046989,-8.089,-16.2592,6.2
zone_04,2026-07-07,10.7567,15.7899,0.000708,-7.4778,-13.2614,6.2
zone_05,2026-07-07,0.8126,146.9745,0.007313,-9.0167,-17.644,6.2
zone_06,2026-07-07,11.1678,165.702,-0.030888,-8.5286,-16.5936,6.2
zone_07,2026-07-07,11.5147,169.6676,-0.005945,-10.2952,-18.8812,6.2
zone_08,2026-07-07,14.8115,203.6419,-0.03519,-7.5671,-14.7394,6.2
zone_09,2026-07-07,3.128,105.5919,0.0005,-9.6336,-17.9496,6.2
zone_10,2026-07-07,12.0184,229.9116,-0.03979,-9.3265,-17.2194,6.2
zone_11,2026-07-07,16.242,337.329,-0.00185,-10.0968,-18.2234,6.2
zone_12,2026-07-07,12.406,314.2971,-0.067788,-9.0088,-17.724,6.2
zone_13,2026-07-07,1.2123,82.5197,-0.004406,-9.2143,-17.3997,6.2
zone_14,2026-07-07,5.6308,229.9163,0.01853,-9.653,-18.1871,6.2
zone_15,2026-07-07,3.3809,260.4495,-0.012809,-12.1168,-19.8546,6.2
zone_16,2026-07-07,1.1964,158.6191,0.009475,-12.4976,-19.2485,6.2
zone_01,2026-07-19,4.805,111.1703,0.047333,-7.0427,-15.4966,13.3
zone_02,2026-07-19,5.3165,195.2216,0.02904,-7.9566,-16.5468,13.3
zone_03,2026-07-19,10.2624,195.2096,-0.046989,-8.3543,-16.8824,13.3
zone_04,2026-07-19,10.7567,15.7899,0.000708,-8.2406,-14.1727,13.3
zone_05,2026-07-19,0.8126,146.9745,0.007313,-9.164,-18.218,13.3
zone_06,2026-07-19,11.1678,165.702,-0.030888,-8.8157,-17.2346,13.3
zone_07,2026-07-19,11.5147,169.6676,-0.005945,-10.9641,-19.7532,13.3
zone_08,2026-07-19,14.8115,203.6419,-0.03519,-8.2129,-15.2782,13.3
zone_09,2026-07-19,3.128,105.5919,0.0005,-9.8437,-18.2417,13.3
zone_10,2026-07-19,12.0184,229.9116,-0.03979,-9.5619,-17.5197,13.3
zone_11,2026-07-19,16.242,337.329,-0.00185,-10.3891,-18.4677,13.3
zone_12,2026-07-19,12.406,314.2971,-0.067788,-9.1712,-17.9461,13.3
zone_13,2026-07-19,1.2123,82.5197,-0.004406,-9.41,-17.6828,13.3
zone_14,2026-07-19,5.6308,229.9163,0.01853,-9.651,-18.1648,13.3
zone_15,2026-07-19,3.3809,260.4495,-0.012809,-12.1901,-20.3225,13.3
zone_16,2026-07-19,1.1964,158.6191,0.009475,-12.8572,-19.8162,13.3
zone_01,2026-07-31,4.805,111.1703,0.047333,-6.9091,-15.4014,5.7
zone_02,2026-07-31,5.3165,195.2216,0.02904,-8.1948,-16.4863,5.7
zone_03,2026-07-31,10.2624,195.2096,-0.046989,-8.4301,-16.9103,5.7
zone_04,2026-07-31,10.7567,15.7899,0.000708,-8.7275,-14.4049,5.7
zone_05,2026-07-31,0.8126,146.9745,0.007313,-9.2915,-18.1258,5.7
zone_06,2026-07-31,11.1678,165.702,-0.030888,-8.9514,-17.2949,5.7
zone_07,2026-07-31,11.5147,169.6676,-0.005945,-10.9781,-20.0349,5.7
zone_08,2026-07-31,14.8115,203.6419,-0.03519,-8.479,-15.4717,5.7
zone_09,2026-07-31,3.128,105.5919,0.0005,-9.9278,-18.5085,5.7
zone_10,2026-07-31,12.0184,229.9116,-0.03979,-9.4719,-17.8909,5.7
zone_11,2026-07-31,16.242,337.329,-0.00185,-9.855,-18.4615,5.7
zone_12,2026-07-31,12.406,314.2971,-0.067788,-9.5557,-18.8085,5.7
zone_13,2026-07-31,1.2123,82.5197,-0.004406,-9.3599,-17.5941,5.7
zone_14,2026-07-31,5.6308,229.9163,0.01853,-9.1535,-17.6506,5.7
zone_15,2026-07-31,3.3809,260.4495,-0.012809,-11.2895,-20.0304,5.7
zone_16,2026-07-31,1.1964,158.6191,0.009475,-12.4855,-19.9589,5.7
zone_01,2026-08-12,4.805,111.1703,0.047333,-7.2944,-15.5196,10.1
zone_02,2026-08-12,5.3165,195.2216,0.02904,-8.8232,-17.1125,10.1
zone_03,2026-08-12,10.2624,195.2096,-0.046989,-8.5452,-17.1042,10.1
zone_04,2026-08-12,10.7567,15.7899,0.000708,-8.2577,-14.1667,10.1
zone_05,2026-08-12,0.8126,146.9745,0.007313,-9.8184,-19.0291,10.1
zone_06,2026-08-12,11.1678,165.702,-0.030888,-9.2681,-17.637,10.1
zone_07,2026-08-12,11.5147,169.6676,-0.005945,-11.2877,-20.3887,10.1
zone_08,2026-08-12,14.8115,203.6419,-0.03519,-8.0274,-15.3631,10.1
zone_09,2026-08-12,3.128,105.5919,0.0005,-10.5745,-19.5137,10.1
zone_10,2026-08-12,12.0184,229.9116,-0.03979,-9.9347,-18.1532,10.1
zone_11,2026-08-12,16.242,337.329,-0.00185,-10.0119,-18.8028,10.1
zone_12,2026-08-12,12.406,314.2971,-0.067788,-9.6571,-18.7315,10.1
zone_13,2026-08-12,1.2123,82.5197,-0.004406,-9.8229,-18.2739,10.1
zone_14,2026-08-12,5.6308,229.9163,0.01853,-9.8467,-18.6948,10.1
zone_15,2026-08-12,3.3809,260.4495,-0.012809,-12.2891,-20.7987,10.1
zone_16,2026-08-12,1.1964,158.6191,0.009475,-12.5742,-19.9305,10.1
